day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
289,부산,80,25,105,0.23809523809523808,0.06864,0.11407199999999999,0.7201599999999998
290,부산,80,29,109,0.26605504587155965,0.06867,0.1141035,0.7202299999999998
291,부산,80,26,106,0.24528301886792453,0.0687,0.11413499999999999,0.7202999999999998
292,부산,80,27,107,0.2523364485981308,0.06873,0.11416649999999999,0.7203699999999997
293,부산,80,25,105,0.23809523809523808,0.06875999999999999,0.11419799999999998,0.7204399999999997
294,부산,80,21,101,0.2079207920792079,0.06879,0.11422950000000001,0.7205099999999999
295,부산,80,27,107,0.2523364485981308,0.06881999999999999,0.114261,0.7205799999999999
296,부산,80,33,113,0.2920353982300885,0.06885,0.11429249999999999,0.7206499999999999
297,부산,80,29,109,0.26605504587155965,0.06888,0.114324,0.7207199999999999
298,부산,80,27,107,0.2523364485981308,0.06891,0.11435549999999998,0.7207899999999999
299,부산,80,27,107,0.2523364485981308,0.06894,0.11438699999999999,0.7208599999999998
300,부산,80,28,108,0.25925925925925924,0.06896999999999999,0.11441849999999998,0.7209299999999998
301,부산,80,29,109,0.26605504587155965,0.06899999999999999,0.11445000000000001,0.7209999999999999
302,부산,80,25,105,0.23809523809523808,0.06903000000000001,0.1144815,0.7210699999999999
303,부산,80,30,110,0.2727272727272727,0.06906,0.114513,0.7211399999999999
304,부산,80,29,109,0.26605504587155965,0.06909,0.1145445,0.7212099999999998
305,부산,80,29,109,0.26605504587155965,0.06911999999999999,0.11457599999999998,0.7212799999999998
306,부산,80,29,109,0.26605504587155965,0.06915,0.11460749999999999,0.7213499999999998
307,부산,80,28,108,0.25925925925925924,0.06918,0.114639,0.7214199999999998
308,부산,80,30,110,0.2727272727272727,0.06921,0.11467050000000001,0.7214899999999999
309,부산,80,29,109,0.26605504587155965,0.06924,0.114702,0.7215599999999998
310,부산,80,27,107,0.2523364485981308,0.06927,0.1147335,0.7216299999999998
311,부산,80,27,107,0.2523364485981308,0.0693,0.11476499999999999,0.7216999999999998
312,부산,80,29,109,0.26605504587155965,0.06932999999999999,0.1147965,0.7217699999999998
313,부산,80,32,112,0.2857142857142857,0.06935999999999999,0.11482799999999999,0.7218399999999998
314,부산,80,26,106,0.24528301886792453,0.06939000000000001,0.1148595,0.7219099999999999
